,ER CDX HY 5Y,ER CDX IG 5Y,ER CDX IG 10Y,ER CDX EM 5Y,ER ITRX MAIN 10Y,ER ITRX MAIN 5Y,ER ITRX XOVER 5Y,ER ITRX SNRFIN 5Y,ER ITRX SUBFIN 5Y,ER HYG,ER EMB,ER LQD,ER VCIT,ER IEI,ER IEF,ER RSP,ER IBCN,ER IEAC,ER IHYG,ER BKLN,ER HY Eqty,ER IG Eqty,ER SPY,ER EEM,ER IWM,ER IJH,ER SPX,ER RTY,ER SX5E
2019-10-24,261.5025563837,119.2516819645,110.2801084978,156.9919204025,118.8775688278,119.9245371507,258.1524943654,120.5374634623,144.4979665669,,,,,,,,,,,,,,,,,,272.15,233.45,1109.715
2019-10-25,261.7346517134,119.2951864043,110.3564019472,157.3001965738,119.0238218235,119.9890133368,258.6665194383,120.6176272951,144.7229551174,1.0007346463289561,0.9996848029021267,0.9982070236858857,0.9984006945615411,0.9984469528779254,0.9978028601025458,1.0036178816992265,0.9993118871494927,1.0001245583925287,0.9991058969949743,1.0012830928560843,1.0100501767676766,1.0038671895720312,1.0040441162288734,1.00702463836478,1.005267625610758,1.0052418032218284,273.6,234.47,1110.637
2019-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-28,262.0064424757,119.3131230106,110.4137908324,157.313877469,119.0189843173,120.0097462884,258.721394221,120.6236925591,144.70020659,1.00055770909171,0.9980478836563421,0.9951667216165787,0.9965906739548317,0.996973121038323,0.9939962933124802,1.006685114294956,0.9981650323986468,0.9986125933698994,0.9996602969968197,0.9990090968458089,1.004819088054113,1.0045193589287522,1.0096524771790119,1.0128693767417098,1.013907225269801,1.0109968945855554,275.05,236.83,1112.788
2019-10-29,261.7960218384,119.2571686278,110.3078833931,157.1788926366,118.8960163762,119.9482603197,258.1177240471,120.5625646992,144.5955694154,0.9986764834278148,0.9953540581577863,0.992536228483561,0.9953453856796313,0.9970808301760714,0.9948402444922185,1.008468392427372,0.9983944033488162,0.9988852275629444,0.9987656763998273,0.997180204030602,1.0099477687022143,1.0062767097405672,1.0093018334955137,1.0076300154365068,1.0171634546968977,1.0136689032371407,275.0,237.33,1109.715
2019-10-30,261.5772094513,119.2317327541,110.2381387701,157.0439078042,118.8245797604,119.9175648187,257.6373595709,120.5015753728,144.3083903786,0.9973654755725467,0.9963610313369914,0.9960291058863016,0.9979345111801624,0.9994810291725796,0.9996184032515641,1.0085091127024683,0.998165032398647,0.9986377153535939,0.9975824181527202,0.9966852167094944,0.9943590522516513,1.0022079621978974,1.0123465192506347,1.0120595258832183,1.0137398605921537,1.011202935991187,276.09,236.76,1109.408
2019-10-31,261.1309499682,119.2116545507,110.1910794562,156.8022119893,118.7998067926,119.9044564761,257.2398763255,120.4579264758,144.2034697282,0.9938858454793648,1.000810574118619,1.0020392197674621,1.0027195024124482,1.0036266991684744,1.0059227338503234,1.0032379891629473,0.9998279717873735,1.0004710127080434,0.9986216962069361,0.9961969214665837,0.9684206439519712,0.9979454221433965,1.009605959465254,1.003997860771981,1.0079889074893225,1.0033496418238872,275.0,235.1,1109.101
2019-11-01,262.084418347,119.3559194007,110.4380744186,157.3567442739,118.9729305667,119.9981395181,258.1589494872,120.6135291137,144.6105425361,0.9980829062066441,1.0043384822943335,1.0029730833175687,1.0027604413917486,1.002244708264494,1.0039843214922226,1.0155730987842344,0.9991972016744083,1.0005938246814925,1.0011102732527848,0.9983761377948771,1.0098081702207338,1.0141727499087858,1.018914755544669,1.019044696044667,1.0251284192168664,1.0180496943287556,277.49,239.15,1110.637
2019-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-04,262.8131051477,119.4310529878,110.5688914483,157.5510129854,119.2252105169,120.1046476585,258.9527026474,120.7515759817,144.8437647578,1.0001015151492614,1.0021727356937125,0.9982092325772834,0.9992040191061302,0.9998268876897304,0.9988367696739072,1.0213973353188766,0.9983370606112739,1.0000467912144468,1.0021487215249971,1.0001109267216841,1.0460139359258966,1.021560846737994,1.0229643673505264,1.0291391126216256,1.0305954400994362,1.0233480537743955,278.62,240.19,1123.852
2019-11-05,262.754102426,119.4144859798,110.5474526937,157.2764830222,119.2422838535,120.1140146677,258.7290305832,120.7304459384,144.9217104505,0.9990226103806931,0.9948802283619532,0.9924304062192545,0.9949966426623681,0.9967753941820063,0.9934214644026441,1.0213530747676796,0.9982797178737317,0.9995725841502633,1.0028004183857568,1.0009565760719454,1.0356120350323113,1.0249311552701077,1.021788477958605,1.0349887841342003,1.0318475352135879,1.025820727798327,278.28,240.52,1127.539
2019-11-06,262.551952773,119.4043509877,110.5506698859,157.2482091721,119.1305457808,120.0534260101,258.0158871099,120.5933968002,144.707135824,0.9978274578342347,0.9952795951175882,0.9979634164912623,0.9984568700991981,0.9983945640797451,0.9962438246400432,1.0202088990449545,0.9983370606112739,0.9993220920821115,1.0020029391313972,0.9995800558277155,1.0044990851298337,1.02438490442264,1.0219774426095491,1.031643574513944,1.0258382970567337,1.0215132226567307,278.6,239.47,1130.613
